Strategy,Method_Category,Algorithm/Model,Asset_Class,Frequency,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Annual_Return,CPU_Load_%,GPU_Load_%,Memory_GB,Storage_GB,Tech_Dependencies,Risk_Management,Scalability
Sentiment from News (NLP),Event-Driven / Alt-Data,Key model: Sentiment from News,Equities,Daily,1.15,2.01,-0.3,0.26,53,25,5,17,Python; pandas; numpy; TA-Lib; vectorbt; Python; sklearn; xgboost; lightgbm; TensorFlow/Keras; CUDA,Vol targeting; position sizing (Kelly cap); hard stop-loss; trailing stop; VaR/ES limits,Benefits from GPU; scales with VRAM
Weather Derivatives Trading,Event-Driven / Alt-Data,Key model: Weather Derivatives Trading,Derivatives,Monthly,1.24,1.22,-0.16,0.25,44,3,9,8,PyTorch; CUDA; cuDNN; Zipline; Qlib; Backtrader; Python; sklearn; xgboost; lightgbm,Hedging overlays (index futures/options); daily risk budgeting; max leverage cap,Benefits from GPU; scales with VRAM
Shipping/Alt Activity (AIS) Factor,Event-Driven / Alt-Data,Key model: Shipping/Alt Activity,Equities,Monthly,1.13,1.73,-0.24,0.17,24,12,5,15,TensorFlow/Keras; CUDA; Zipline; Qlib; Backtrader; Python; pandas; numpy; TA-Lib; vectorbt,Vol targeting; position sizing (Kelly cap); hard stop-loss; trailing stop; VaR/ES limits,Benefits from GPU; scales with VRAM
X-Sectional Momentum (top vs bottom cap),Crypto,Key model: X-Sectional Momentum,Crypto,Daily,0.82,1.93,-0.35,0.29,52,17,4,10,Zipline; Qlib; Backtrader; Python; sklearn; xgboost; lightgbm; TensorFlow/Keras; CUDA,Intraday kill-switch; regime filters; drawdown-based de-risking,Benefits from GPU; scales with VRAM
Time-Series Momentum (alts vs BTC),Crypto,Key model: Time-Series Momentum,Crypto,Daily,1.29,1.48,-0.33,0.17,68,34,10,13,Python; sklearn; xgboost; lightgbm; Python; pandas; numpy; TA-Lib; vectorbt; Zipline; Qlib; Backtrader,Intraday kill-switch; regime filters; drawdown-based de-risking,Benefits from GPU; scales with VRAM
Mean Reversion on Stablecoin Premiums,Crypto,Key model: Mean Reversion on Stablecoin Premiums,Crypto,Intraday,0.79,1.91,-0.44,0.25,65,24,10,16,Numba; Ray; Dask for parallelism; Zipline; Qlib; Backtrader; Python; pandas; numpy; TA-Lib; vectorbt,Intraday kill-switch; regime filters; drawdown-based de-risking,Benefits from GPU; scales with VRAM
Funding Rate Carry (perpetuals),Crypto,Key model: Funding Rate Carry,Crypto,Daily,1.37,1.06,-0.21,0.17,26,28,5,14,PyTorch; CUDA; cuDNN; Python; pandas; numpy; statsmodels; Backtrader; Python; pandas; numpy; TA-Lib; vectorbt,Intraday kill-switch; regime filters; drawdown-based de-risking,Benefits from GPU; scales with VRAM
On-chain Address Growth Factor,Crypto,Key model: On-chain Address Growth Factor,Crypto,Daily,1.3,2.16,-0.43,0.26,36,21,10,16,Python; pandas; numpy; statsmodels; Backtrader; Python; sklearn; xgboost; lightgbm; TensorFlow/Keras; CUDA,Intraday kill-switch; regime filters; drawdown-based de-risking,Benefits from GPU; scales with VRAM
ETH/BTC Ratio Trend,Crypto,Key model: ETH/BTC Ratio Trend,Crypto,Swing,1.36,1.71,-0.23,0.2,54,2,5,9,Zipline; Qlib; Backtrader; Numba; Ray; Dask for parallelism; Python; sklearn; xgboost; lightgbm,Position sizing (vol parity); 2xATR stop; portfolio-level max DD circuit-breaker,Benefits from GPU; scales with VRAM
Basis Arbitrage (futures spot),Crypto,Key model: Basis Arbitrage,Crypto,High-frequency,1.2,1.46,-0.43,0.23,26,28,6,17,Python; sklearn; xgboost; lightgbm; Python; pandas; numpy; statsmodels; Backtrader; Zipline; Qlib; Backtrader,Hedging overlays (index futures/options); daily risk budgeting; max leverage cap,Benefits from GPU; scales with VRAM
Liquidity Mining Yield + Hedge,Crypto,Key model: Liquidity Mining Yield + Hedge,Crypto,Daily,1.24,1.28,-0.36,0.13,53,26,6,8,Python; pandas; numpy; TA-Lib; vectorbt; Python; pandas; numpy; statsmodels; Backtrader; TensorFlow/Keras; CUDA,Intraday kill-switch; regime filters; drawdown-based de-risking,Benefits from GPU; scales with VRAM
Staking Yield Rotation,Crypto,Key model: Staking Yield Rotation,Crypto,Positional,1.1,1.21,-0.22,0.13,49,40,8,13,Python; sklearn; xgboost; lightgbm; Zipline; Qlib; Backtrader; Python; pandas; numpy; statsmodels; Backtrader,Intraday kill-switch; regime filters; drawdown-based de-risking,Benefits from GPU; scales with VRAM
Crypto Seasonality (month effects),Crypto,Key model: Crypto Seasonality,Crypto,Positional,1.32,1.78,-0.41,0.19,42,37,8,16,PyTorch; CUDA; cuDNN; Zipline; Qlib; Backtrader; Python; sklearn; xgboost; lightgbm,Intraday kill-switch; regime filters; drawdown-based de-risking,Benefits from GPU; scales with VRAM
VWAP/TWAP Execution Alpha (slippage capture),Market Microstructure / Execution,Key model: VWAP/TWAP Execution Alpha,Equities,High-frequency,1.19,1.12,-0.28,0.15,40,24,9,15,Python; sklearn; xgboost; lightgbm; Zipline; Qlib; Backtrader; Numba; Ray; Dask for parallelism,Vol targeting; position sizing (Kelly cap); hard stop-loss; trailing stop; VaR/ES limits,Benefits from GPU; scales with VRAM
Opening Auction Imbalance Alpha,Market Microstructure / Execution,Key model: Opening Auction Imbalance Alpha,Equities,Intraday,1.28,1.62,-0.3,0.16,68,3,11,10,Numba; Ray; Dask for parallelism; Python; pandas; numpy; TA-Lib; vectorbt; TensorFlow/Keras; CUDA,Hedging overlays (index futures/options); daily risk budgeting; max leverage cap,Benefits from GPU; scales with VRAM
Closing Auction Imbalance Alpha,Market Microstructure / Execution,Key model: Closing Auction Imbalance Alpha,Equities,Intraday,0.75,1.11,-0.31,0.19,67,8,5,16,Zipline; Qlib; Backtrader; Python; pandas; numpy; statsmodels; Backtrader; Python; sklearn; xgboost; lightgbm,Intraday kill-switch; regime filters; drawdown-based de-risking,Benefits from GPU; scales with VRAM
Latency-Arbitrage Proxy (non-HFT) on crypto,Market Microstructure / Execution,Key model: Latency-Arbitrage Proxy,Crypto,High-frequency,0.62,1.3,-0.33,0.21,45,26,6,9,Python; pandas; numpy; TA-Lib; vectorbt; TensorFlow/Keras; CUDA; Python; sklearn; xgboost; lightgbm,Hedging overlays (index futures/options); daily risk budgeting; max leverage cap,Benefits from GPU; scales with VRAM
Queue Positioning (order book depth),Market Microstructure / Execution,Key model: Queue Positioning,Equities,High-frequency,1.18,1.18,-0.21,0.15,43,21,5,13,Python; pandas; numpy; statsmodels; Backtrader; Python; pandas; numpy; TA-Lib; vectorbt; Zipline; Qlib; Backtrader,Intraday kill-switch; regime filters; drawdown-based de-risking,Benefits from GPU; scales with VRAM
Liquidity Provision (rebates + inventory control),Market Microstructure / Execution,Key model: Liquidity Provision,Equities,High-frequency,1.28,1.79,-0.29,0.19,25,16,12,7,PyTorch; CUDA; cuDNN; Python; sklearn; xgboost; lightgbm; Zipline; Qlib; Backtrader,Intraday kill-switch; regime filters; drawdown-based de-risking,Benefits from GPU; scales with VRAM
Tick Rule Micro-Momentum,Market Microstructure / Execution,Key model: Tick Rule Micro-Momentum,Equities,High-frequency,1.18,1.93,-0.33,0.11,26,35,9,15,Python; pandas; numpy; TA-Lib; vectorbt; Zipline; Qlib; Backtrader; Python; pandas; numpy; statsmodels; Backtrader,Intraday kill-switch; regime filters; drawdown-based de-risking,Benefits from GPU; scales with VRAM
Order Flow Imbalance Mean Reversion,Market Microstructure / Execution,Key model: Order Flow Imbalance Mean Reversion,Futures,High-frequency,1.24,1.23,-0.28,0.1,27,19,11,7,Python; pandas; numpy; statsmodels; Backtrader; Python; pandas; numpy; TA-Lib; vectorbt; TensorFlow/Keras; CUDA,Position sizing (vol parity); 2xATR stop; portfolio-level max DD circuit-breaker,Benefits from GPU; scales with VRAM
Spread/Vol Forecasted Reversion,Market Microstructure / Execution,Key model: Spread/Vol Forecasted Reversion,Futures,Intraday,0.87,1.31,-0.19,0.18,59,26,6,12,Zipline; Qlib; Backtrader; Python; pandas; numpy; statsmodels; Backtrader; PyTorch; CUDA; cuDNN,Intraday kill-switch; regime filters; drawdown-based de-risking,Benefits from GPU; scales with VRAM
Intraday Regime Switch (micro alpha),Market Microstructure / Execution,Key model: Intraday Regime Switch,Equities,Intraday,1.26,1.21,-0.23,0.11,53,15,9,7,Zipline; Qlib; Backtrader; Python; sklearn; xgboost; lightgbm; TensorFlow/Keras; CUDA,Hedging overlays (index futures/options); daily risk budgeting; max leverage cap,Benefits from GPU; scales with VRAM
